每个字符对应的编码信息
28216	923
35201	919
26280	897
32517	469
28201	375
32537	470
33033	1033
28205	376
28207	663
28192	931
26297	285
28197	374
23882	200
33073	811
40	936
41	1021
39069	624
47	998
39068	792
45	959
28180	681
36890	565
39046	717
39047	984
36895	683
36884	711
28165	373
69	3
70	4
28286	741
35266	1009
65	1
66	2
76	645
77	6
78	995
36965	795
72	993
73	5
35282	880
33098	485
83	1017
26354	286
82	647
23860	966
26364	287
32597	996
32599	471
36981	567
30710	965
23822	906
101	651
28251	379
30707	439
99	1018
28248	378
97	646
23815	199
110	649
28246	377
111	650
108	648
109	926
23811	902
107	994
105	7
36930	566
118	9
21892	749
116	925
114	8
21888	136
23830	887
36947	776
37026	570
37027	571
24034	202
37025	686
37030	572
24037	952
26157	280
24038	782
24041	203
32650	472
37038	920
26149	279
37039	573
32654	473
30473	438
37043	574
30476	1006
24052	204
28327	380
37045	575
30465	1023
37049	576
28330	701
28304	654
26126	277
32676	947
26124	276
26114	274
26118	275
37009	820
37011	568
26131	278
37019	569
21830	135
24030	653
24029	201
39039	623
26222	282
26223	283
39034	622
32705	917
37089	935
39033	621
39030	678
35140	531
37101	950
37096	665
28390	384
37108	578
28385	383
26234	284
37117	579
28393	907
28392	385
37112	903
28373	382
26187	281
21776	134
35199	532
37073	577
28353	381
32752	474
28363	828
30563	758
26194	694
33258	486
26550	969
28463	387
30343	431
30340	430
21733	133
65289	1020
65288	934
30347	773
32769	475
28448	386
23665	195
32771	476
65293	955
32774	857
26531	302
23663	194
37167	581
28467	388
32786	477
21697	1002
23646	850
26519	299
21704	132
26524	300
26525	301
30382	432
23627	941
39318	625
32819	752
37122	580
39321	626
23621	193
32822	478
23614	842
28526	393
26612	951
23612	192
28525	855
26611	306
32842	479
26609	768
30415	886
30410	433
32834	875
30422	435
26597	304
30416	434
30431	1013
32852	912
26604	305
23588	191
30427	721
21688	131
30424	436
28493	389
23578	190
21644	130
23572	692
30446	924
37202	582
23569	189
28508	391
30452	437
23567	188
28510	392
37195	987
28504	390
26575	303
23553	800
26426	964
32899	863
23792	900
21608	128
37300	583
32903	480
26417	915
26410	1014
28595	395
26411	660
26408	291
23777	894
32918	997
26412	292
21628	129
26413	293
23786	750
23784	198
26395	949
32435	462
26397	290
28548	394
32933	481
32445	463
32943	482
26388	288
26391	289
32418	460
32422	461
21551	126
26494	298
32468	1016
23731	197
32479	789
28654	396
32473	832
23736	1007
26480	297
26477	296
32988	1034
23724	953
21556	127
39286	659
23725	854
26469	295
32461	464
23721	652
21517	123
32501	467
26460	294
21516	122
32500	466
23703	787
21518	865
23697	196
21513	121
21512	120
32993	483
37329	587
32499	703
21508	810
32511	468
37340	588
26449	932
23707	702
33014	484
30333	428
32485	465
37319	584
30334	429
26441	851
30331	427
21525	125
37324	585
37325	586
21520	124
34914	530
34915	891
34913	529
32047	901
22484	829
33593	790
33589	502
35753	986
20083	31
32034	459
27665	333
39578	812
20080	775
32032	458
39557	922
35767	533
25746	262
33576	731
22467	149
33579	501
22478	668
35774	536
35768	534
24403	228
35769	535
20065	814
24429	229
20061	28
20063	30
20062	29
27704	334
20052	27
22524	151
27700	671
24422	788
22521	760
20048	26
22522	150
20044	24
24444	754
20045	25
30086	816
22496	892
20041	23
24443	823
20037	698
33540	1011
33541	806
33538	500
20027	700
20025	21
27743	338
27741	337
20029	22
39640	629
24320	225
20016	19
27735	985
27733	336
33655	506
20020	20
22402	973
20010	17
27721	335
20013	18
27714	962
35832	537
33633	913
35834	538
33635	504
24343	226
33637	505
19992	691
19994	1001
19996	16
27774	342
24352	227
19988	15
19990	976
27766	927
27752	341
19977	12
27754	968
19978	13
33609	978
19981	14
19982	1005
27744	339
19969	657
19971	10
27748	340
33606	503
19975	11
22365	909
22363	905
33713	510
20208	46
30008	667
27807	930
30002	424
20219	47
30003	757
30000	747
27801	347
24535	781
22350	147
27781	345
20197	44
20196	804
20195	937
27779	344
22346	798
27778	669
27777	343
20204	751
20202	45
33707	509
27784	346
20182	990
29976	423
24544	745
20179	770
27827	349
33694	664
27839	971
27833	843
20185	43
27835	674
33670	507
27815	348
20161	40
20160	39
33678	508
20174	42
22374	148
22369	940
24571	233
20171	41
20147	38
33778	512
24449	690
27863	783
22303	143
30079	684
27861	352
24459	888
30058	942
24464	230
24471	673
20132	739
27850	351
27849	350
20136	803
30053	916
20141	696
20140	37
27888	354
22329	784
25705	261
20113	33
30041	426
39547	628
20116	34
20117	35
27896	355
22320	146
20122	36
22323	853
27899	815
30036	1022
27901	809
27874	353
22317	145
30028	425
24503	231
39532	627
22307	144
24509	232
33743	511
20108	32
20332	56
26000	268
20329	55
24140	827
25991	266
27931	356
25995	267
20339	57
22235	139
27950	359
33292	761
33293	808
24191	211
24189	210
27946	358
29827	859
26032	270
22240	140
20294	52
26045	807
27941	357
24178	672
24179	209
26041	662
27966	360
33311	489
33310	488
20316	742
20315	54
27963	762
20313	53
26031	269
22270	142
22269	666
20309	753
27954	831
22266	141
27953	821
33298	487
20304	727
33390	730
24093	661
27982	361
29926	422
26071	1029
27983	362
20271	51
27969	714
31859	457
24085	207
20262	50
29935	799
27993	363
24072	697
26053	938
27996	835
24076	206
33406	490
33394	689
27987	975
24067	205
24066	845
28010	856
20234	48
24120	208
28009	928
26102	960
28014	677
20239	1003
20237	933
26106	735
28006	364
20250	49
26080	271
26087	273
26086	876
26085	272
20241	687
20240	956
28023	365
29916	421
28037	366
33446	884
24278	977
20449	62
33453	495
33452	494
29756	418
20465	1028
33457	954
28063	367
33469	496
25856	263
24265	220
24266	221
24311	223
24310	222
20420	60
31890	822
