双数组的头节点对应的位置
27983	361
31859	456
24085	206
20262	49
27993	362
33406	489
24076	205
40857	643
38669	611
24067	204
20234	47
24120	207
38712	612
23162	174
28006	363
20250	48
26080	270
26087	272
26085	271
28023	364
29916	420
28037	365
20449	61
24917	242
33453	494
33452	493
28783	396
29756	417
40784	642
28789	397
21015	87
27103	323
24904	241
21018	88
33469	495
28063	366
25856	262
24265	219
24266	220
24311	222
24310	221
20420	59
29705	416
29701	415
21033	89
30928	439
22114	137
24314	223
38902	619
38889	618
33426	490
34527	527
33436	491
33437	492
28095	367
20445	60
38886	617
22025	136
24208	213
24211	214
24213	216
33510	497
24212	215
28100	368
39745	629
27014	322
20399	58
24222	217
25942	263
38797	616
33521	498
24196	211
21073	90
24198	212
24847	240
34444	526
28129	369
24247	218
28142	370
33487	496
29785	418
28145	371
29790	419
25958	264
20381	57
